x,y
287,439
287,439
287,439
287,439
287,439
257,439
227,439
197,439
227,439
227,439
197,439
167,439
167,439
167,439
137,439
167,439
197,439
227,439
227,439
257,439
227,439
197,439
197,439
227,439
227,439
197,439
227,439
227,439
197,439
167,439
167,439
137,439
137,469
137,499
137,469
137,499
167,499
167,499
167,499
137,499
107,499
107,499
137,499
137,469
137,469
137,469
137,439
137,439
137,439
137,469
137,439
167,439
137,439
137,439
167,439
137,439
137,469
137,439
137,439
167,439
167,439
167,439
197,439
197,439
227,439
257,439
257,439
287,439
287,439
287,439
287,439
287,439
317,439
347,439
377,439
377,439
347,439
377,439
377,439
377,439
407,439
437,439
437,439
437,469
437,499
437,469
437,499
407,499
407,499
407,499
407,499
377,499
377,499
407,499
437,499
407,499
437,499
437,499
467,499
467,499
497,499
467,499
497,499
467,499
467,499
467,499
467,499
467,499
497,499
467,499
467,499
467,499
467,499
497,499
497,499
497,469
497,439
497,409
497,409
497,379
497,409
497,379
497,379
467,379
437,379
437,349
437,319
437,289
437,319
437,319
437,319
437,319
437,289
437,319
437,349
437,379
437,349
437,349
437,379
437,349
437,379
467,379
467,379
467,379
467,379
467,379
497,379
497,379
467,379
467,379
437,379
437,379
407,379
377,379
407,379
437,379
407,379
377,379
377,379
377,379
407,379
377,379
407,379
407,379
407,379
437,379
407,379
407,379
407,379
407,379
407,379
407,379
377,379
377,379
347,379
317,379
287,379
287,379
287,379
257,379
257,379
257,379
227,379
227,379
197,379
197,379
167,379
167,379
137,379
107,379
107,379
107,379
107,379
107,379
107,379
77,379
77,379
77,379
107,379
137,379
137,349
137,319
137,289
137,319
137,319
137,319
137,319
